reef,year_month,phosphate_mean,silicate_mean,n_n_mean,ammonia_mean,total_n_mean
reef_25,2014-11-01,0.08549999999999999,9.917,0.357,0.019,NaN
reef_25,2014-12-01,0.09066666666666667,5.056666666666667,0.439,0.265,NaN
reef_25,2015-01-01,0.1015,6.1495,0.2705,0.019,NaN
reef_25,2015-02-01,0.08,7.36,0.45,0.74,9.31
reef_25,2015-03-01,0.09,7.83,0.35,0.48,6.65
reef_25,2015-04-01,0.10500000000000001,5.37,0.125,0.395,7.155
reef_25,2015-05-01,0.08,3.41,0.17,0.52,10.17
reef_25,2015-06-01,0.05,5.85,0.59,2.11,10.57
reef_25,2015-07-01,0.05500000000000001,7.1195,0.151,0.20700000000000002,NaN
reef_25,2015-08-01,0.062,8.4045,0.381,1.4260000000000002,NaN
reef_25,2015-09-01,0.0435,9.884,0.2705,1.529,NaN
reef_25,2015-10-01,0.09333333333333332,21.453333333333333,1.3733333333333333,1.24,13.453333333333333
reef_25,2015-11-01,0.10500000000000001,11.3,0.91,1.055,10
reef_25,2015-12-01,0.08,6.8,0.23,1.26,6.79
reef_25,2016-01-01,0.11,4.43,0.5,0.74,6.09
reef_42,2015-09-01,0.05,11.780000000000001,0.745,1.345,7.8100000000000005
reef_42,2015-10-01,0.06666666666666667,8.6,1.0766666666666667,1.3866666666666667,12.863333333333333
reef_42,2015-11-01,0.12000000000000001,16.865000000000002,1.58,1.4300000000000002,12.49
reef_42,2015-12-01,0.1,4.88,0.43,0.58,9.19
reef_42,2016-01-01,0.11,3.15,0.56,2.37,7.26
reef_44,2014-11-01,0.1215,13.981,1.0155,0.019,NaN
reef_44,2014-12-01,0.125,8.973666666666666,0.62,0.37000000000000005,NaN
reef_44,2015-01-01,0.116,8.318999999999999,0.543,0.019,NaN
reef_44,2015-02-01,0.11,8.52,0.88,0.74,11.22
reef_44,2015-03-01,0.09,9.61,0.5,1.12,16.23
reef_44,2015-04-01,0.14,9.14,0.5249999999999999,1.115,13.504999999999999
reef_44,2015-05-01,0.09,5.89,0.43,2.32,24.38
reef_44,2015-06-01,0.11,12.39,2.83,3.74,30.03
reef_44,2015-07-01,0.11249999999999999,9.9535,0.9730000000000001,0.5329999999999999,NaN
reef_44,2015-08-01,0.097,11.921,1.7915,1.558,NaN
reef_44,2015-09-01,0.12,22.1,1.4055,1.455,NaN
reef_44,2015-10-01,0.08333333333333334,19.683333333333334,2.1466666666666665,1.8533333333333333,18.343333333333334
reef_44,2015-11-01,0.155,13.175,1.6600000000000001,3.045,15.295
reef_44,2015-12-01,0.1,14.49,0.83,1.07,17.62
reef_44,2016-01-01,0.14,9.53,0.88,0.49,7.6
reef_himb,2014-11-01,0.10400000000000001,11.942,0.33,0.0355,NaN
reef_himb,2014-12-01,0.10133333333333333,7.752666666666666,0.41933333333333334,0.39199999999999996,NaN
reef_himb,2015-01-01,0.129,5.8985,0.2625,0.0755,NaN
reef_himb,2015-02-01,0.07,6.09,0.22,0.53,7.43
reef_himb,2015-03-01,0.1,10.07,0.37,0.66,7.17
reef_himb,2015-04-01,0.14,6.324999999999999,0.215,0.49,7.01
reef_himb,2015-05-01,0.12,6.31,0.17,2.26,8.43
reef_himb,2015-06-01,0.06,6.74,0.56,1.06,9.12
reef_himb,2015-07-01,0.109,8.5415,0.2305,0.059500000000000004,NaN
reef_himb,2015-08-01,0.0695,9.634,0.2205,0.6469999999999999,NaN
reef_himb,2015-09-01,0.0685,3.864,0.236,0.055499999999999994,NaN
reef_himb,2015-10-01,0.1,21.006666666666668,0.9133333333333333,0.7333333333333334,11.083333333333334
reef_himb,2015-11-01,0.1,14.65,1.1,0.685,9.74
reef_himb,2015-12-01,0.1,5.14,0.44,0.52,7.84
reef_himb,2016-01-01,0.1,1.64,0.27,0.35,4.94
